prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xFD;0x00;;;;0;0;;;;;;;
0xFD;0x01;;;;0;0;;;;;;;
0xFD;0x02;;;;0;0;;;;;;;
0xFD;0x03;;;;0;0;;;;;;;
0xFD;0x04;;;;0;0;;;;;;;
0xFD;0x05;;;;0;0;;;;;;;
0xFD;0x06;;;;0;0;;;;;;;
0xFD;0x07;;;;0;0;;;;;;;
0xFD;0x08;;;;0;0;;;;;;;
0xFD;0x09;2;0;0;0;;ADD IY,BC;10;2;IY;BC;;
0xFD;0x0A;;;;0;0;;;;;;;
0xFD;0x0B;;;;0;0;;;;;;;
0xFD;0x0C;;;;0;0;;;;;;;
0xFD;0x0D;;;;0;0;;;;;;;
0xFD;0x0E;;;;0;0;;;;;;;
0xFD;0x0F;;;;0;0;;;;;;;
0xFD;0x10;;;;0;0;;;;;;;
0xFD;0x11;;;;0;0;;;;;;;
0xFD;0x12;;;;0;0;;;;;;;
0xFD;0x13;;;;0;0;;;;;;;
0xFD;0x14;;;;0;0;;;;;;;
0xFD;0x15;;;;0;0;;;;;;;
0xFD;0x16;;;;0;0;;;;;;;
0xFD;0x17;;;;0;0;;;;;;;
0xFD;0x18;;;;0;0;;;;;;;
0xFD;0x19;2;0;0;0;;ADD IY,DE;10;2;IY;DE;;
0xFD;0x1A;;;;0;0;;;;;;;
0xFD;0x1B;;;;0;0;;;;;;;
0xFD;0x1C;;;;0;0;;;;;;;
0xFD;0x1D;;;;0;0;;;;;;;
0xFD;0x1E;;;;0;0;;;;;;;
0xFD;0x1F;;;;0;0;;;;;;;
0xFD;0x20;;;;0;0;;;;;;;
0xFD;0x21;2;2;0;0;;LD IY,nn;64;1;IY;nn;;
0xFD;0x22;2;2;0;0;;LD (nn),IY;68;1;(nn);IY;;
0xFD;0x23;2;0;0;0;;INC IY;49;1;IY;;;
0xFD;0x24;2;0;1;0;;INC IYh;46;1;IYh;;;
0xFD;0x25;2;0;1;0;;DEC IYh;31;1;IYh;;;
0xFD;0x26;2;1;1;0;;LD IYh,n;59;1;IYh;n;;
0xFD;0x27;;;;0;0;;;;;;;
0xFD;0x28;;;;0;0;;;;;;;
0xFD;0x29;2;0;0;0;;ADD IY,IY;10;2;IY;IY;;
0xFD;0x2A;2;2;0;0;;LD IY,(nn);66;1;IY;(nn);;
0xFD;0x2B;2;0;0;0;;DEC IY;34;1;IY;;;
0xFD;0x2C;2;0;1;0;;INC IYl;46;1;IYl;;;
0xFD;0x2D;2;0;1;0;;DEC IYl;31;1;IYl;;;
0xFD;0x2E;2;1;1;0;;LD IYl,n;59;1;IYl;n;;
0xFD;0x2F;;;;0;0;;;;;;;
0xFD;0x30;;;;0;0;;;;;;;
0xFD;0x31;;;;0;0;;;;;;;
0xFD;0x32;;;;0;0;;;;;;;
0xFD;0x33;;;;0;0;;;;;;;
0xFD;0x34;2;1;0;0;;INC (IY+d);48;0;(IY+d);;;
0xFD;0x35;2;1;0;0;;DEC (IY+d);33;0;(IY+d);;;
0xFD;0x36;2;2;0;0;;LD (IY+d),n;71;0;(IY+d);n;;
0xFD;0x37;;;;0;0;;;;;;;
0xFD;0x38;;;;0;0;;;;;;;
0xFD;0x39;2;0;0;0;;ADD IY,SP;10;2;IY;SP;;
0xFD;0x3A;;;;0;0;;;;;;;
0xFD;0x3B;;;;0;0;;;;;;;
0xFD;0x3C;;;;0;0;;;;;;;
0xFD;0x3D;;;;0;0;;;;;;;
0xFD;0x3E;;;;0;0;;;;;;;
0xFD;0x3F;;;;0;0;;;;;;;
0xFD;0x40;;;;0;0;;;;;;;
0xFD;0x41;;;;0;0;;;;;;;
0xFD;0x42;;;;0;0;;;;;;;
0xFD;0x43;;;;0;0;;;;;;;
0xFD;0x44;2;0;1;0;;LD B,IYh;60;1;B;IYh;;
0xFD;0x45;2;0;1;0;;LD B,IYl;60;1;B;IYl;;
0xFD;0x46;2;1;0;0;;LD B,(IY+d);63;0;B;(IY+d);;
0xFD;0x47;;;;0;0;;;;;;;
0xFD;0x48;;;;0;0;;;;;;;
0xFD;0x49;;;;0;0;;;;;;;
0xFD;0x4A;;;;0;0;;;;;;;
0xFD;0x4B;;;;0;0;;;;;;;
0xFD;0x4C;2;0;1;0;;LD C,IYh;60;1;C;IYh;;
0xFD;0x4D;2;0;1;0;;LD C,IYl;60;1;C;IYl;;
0xFD;0x4E;2;1;0;0;;LD C,(IY+d);63;0;C;(IY+d);;
0xFD;0x4F;;;;0;0;;;;;;;
0xFD;0x50;;;;0;0;;;;;;;
0xFD;0x51;;;;0;0;;;;;;;
0xFD;0x52;;;;0;0;;;;;;;
0xFD;0x53;;;;0;0;;;;;;;
0xFD;0x54;2;0;1;0;;LD D,IYh;60;1;D;IYh;;
0xFD;0x55;2;0;1;0;;LD D,IYl;60;1;D;IYl;;
0xFD;0x56;2;1;0;0;;LD D,(IY+d);63;0;D;(IY+d);;
0xFD;0x57;;;;0;0;;;;;;;
0xFD;0x58;;;;0;0;;;;;;;
0xFD;0x59;;;;0;0;;;;;;;
0xFD;0x5A;;;;0;0;;;;;;;
0xFD;0x5B;;;;0;0;;;;;;;
0xFD;0x5C;2;0;1;0;;LD E,IYh;60;1;E;IYh;;
0xFD;0x5D;2;0;1;0;;LD E,IYl;60;1;E;IYl;;
0xFD;0x5E;2;1;0;0;;LD E,(IY+d);63;0;E;(IY+d);;
0xFD;0x5F;;;;0;0;;;;;;;
0xFD;0x60;2;0;1;0;;LD IYh,B;60;2;IYh;B;;
0xFD;0x61;2;0;1;0;;LD IYh,C;60;2;IYh;C;;
0xFD;0x62;2;0;1;0;;LD IYh,D;60;2;IYh;D;;
0xFD;0x63;2;0;1;0;;LD IYh,E;60;2;IYh;E;;
0xFD;0x64;2;0;1;0;;LD IYh,IYh;60;4;IYh;IYh;;
0xFD;0x65;2;0;1;0;;LD IYh,IYl;60;4;IYh;IYl;;
0xFD;0x66;2;1;0;0;;LD H,(IY+d);63;0;H;(IY+d);;
0xFD;0x67;2;0;1;0;;LD IYh,A;60;2;IYh;A;;
0xFD;0x68;2;0;1;0;;LD IYl,B;60;2;IYl;B;;
0xFD;0x69;2;0;1;0;;LD IYl,C;60;2;IYl;C;;
0xFD;0x6A;2;0;1;0;;LD IYl,D;60;2;IYl;D;;
0xFD;0x6B;2;0;1;0;;LD IYl,E;60;2;IYl;E;;
0xFD;0x6C;2;0;1;0;;LD IYl,IYh;60;4;IYl;IYh;;
0xFD;0x6D;2;0;1;0;;LD IYl,IYl;60;4;IYl;IYl;;
0xFD;0x6E;2;1;0;0;;LD L,(IY+d);63;0;L;(IY+d);;
0xFD;0x6F;2;0;1;0;;LD IYl,A;60;2;IYl;A;;
0xFD;0x70;2;1;0;0;;LD (IY+d),B;72;0;(IY+d);B;;
0xFD;0x71;2;1;0;0;;LD (IY+d),C;72;0;(IY+d);C;;
0xFD;0x72;2;1;0;0;;LD (IY+d),D;72;0;(IY+d);D;;
0xFD;0x73;2;1;0;0;;LD (IY+d),E;72;0;(IY+d);E;;
0xFD;0x74;2;1;0;0;;LD (IY+d),H;72;0;(IY+d);H;;
0xFD;0x75;2;1;0;0;;LD (IY+d),L;72;0;(IY+d);L;;
0xFD;0x76;;;;0;0;;;;;;;
0xFD;0x77;2;1;0;0;;LD (IY+d),A;72;0;(IY+d);A;;
0xFD;0x78;;;;0;0;;;;;;;
0xFD;0x79;;;;0;0;;;;;;;
0xFD;0x7A;;;;0;0;;;;;;;
0xFD;0x7B;;;;0;0;;;;;;;
0xFD;0x7C;2;0;1;0;;LD A,IYh;60;1;A;IYh;;
0xFD;0x7D;2;0;1;0;;LD A,IYl;60;1;A;IYl;;
0xFD;0x7E;2;1;0;0;;LD A,(IY+d);63;0;A;(IY+d);;
0xFD;0x7F;;;;0;0;;;;;;;
0xFD;0x80;;;;0;0;;;;;;;
0xFD;0x81;;;;0;0;;;;;;;
0xFD;0x82;;;;0;0;;;;;;;
0xFD;0x83;;;;0;0;;;;;;;
0xFD;0x84;2;0;1;0;;ADD A,IYh;7;1;A;IYh;;
0xFD;0x85;2;0;1;0;;ADD A,IYl;7;1;A;IYl;;
0xFD;0x86;2;1;0;0;;ADD A,(IY+d);9;0;A;(IY+d);;
0xFD;0x87;;;;0;0;;;;;;;
0xFD;0x88;;;;0;0;;;;;;;
0xFD;0x89;;;;0;0;;;;;;;
0xFD;0x8A;;;;0;0;;;;;;;
0xFD;0x8B;;;;0;0;;;;;;;
0xFD;0x8C;2;0;1;0;;ADC A,IYh;2;1;A;IYh;;
0xFD;0x8D;2;0;1;0;;ADC A,IYl;2;1;A;IYl;;
0xFD;0x8E;2;1;0;0;;ADC A,(IY+d);4;0;A;(IY+d);;
0xFD;0x8F;;;;0;0;;;;;;;
0xFD;0x90;;;;0;0;;;;;;;
0xFD;0x91;;;;0;0;;;;;;;
0xFD;0x92;;;;0;0;;;;;;;
0xFD;0x93;;;;0;0;;;;;;;
0xFD;0x94;2;0;1;0;;SUB IYh;150;1;IYh;;;
0xFD;0x95;2;0;1;0;;SUB IYl;150;1;IYl;;;
0xFD;0x96;2;1;0;0;;SUB (IY+d);152;0;(IY+d);;;
0xFD;0x97;;;;0;0;;;;;;;
0xFD;0x98;;;;0;0;;;;;;;
0xFD;0x99;;;;0;0;;;;;;;
0xFD;0x9A;;;;0;0;;;;;;;
0xFD;0x9B;;;;0;0;;;;;;;
0xFD;0x9C;2;0;1;0;;SBC A,IYh;124;1;A;IYh;;
0xFD;0x9D;2;0;1;0;;SBC A,IYl;124;1;A;IYl;;
0xFD;0x9E;2;1;0;0;;SBC A,(IY+d);126;0;A;(IY+d);;
0xFD;0x9F;;;;0;0;;;;;;;
0xFD;0xA0;;;;0;0;;;;;;;
0xFD;0xA1;;;;0;0;;;;;;;
0xFD;0xA2;;;;0;0;;;;;;;
0xFD;0xA3;;;;0;0;;;;;;;
0xFD;0xA4;2;0;1;0;;AND IYh;12;1;IYh;;;
0xFD;0xA5;2;0;1;0;;AND IYl;12;1;IYl;;;
0xFD;0xA6;2;1;0;0;;AND (IY+d);14;0;(IY+d);;;
0xFD;0xA7;;;;0;0;;;;;;;
0xFD;0xA8;;;;0;0;;;;;;;
0xFD;0xA9;;;;0;0;;;;;;;
0xFD;0xAA;;;;0;0;;;;;;;
0xFD;0xAB;;;;0;0;;;;;;;
0xFD;0xAC;2;0;1;0;;XOR IYh;154;1;IYh;;;
0xFD;0xAD;2;0;1;0;;XOR IYl;154;1;IYl;;;
0xFD;0xAE;2;1;0;0;;XOR (IY+d);156;0;(IY+d);;;
0xFD;0xAF;;;;0;0;;;;;;;
0xFD;0xB0;;;;0;0;;;;;;;
0xFD;0xB1;;;;0;0;;;;;;;
0xFD;0xB2;;;;0;0;;;;;;;
0xFD;0xB3;;;;0;0;;;;;;;
0xFD;0xB4;2;0;1;0;;OR IYh;80;1;IYh;;;
0xFD;0xB5;2;0;1;0;;OR IYl;80;1;IYl;;;
0xFD;0xB6;2;1;0;0;;OR (IY+d);82;0;(IY+d);;;
0xFD;0xB7;;;;0;0;;;;;;;
0xFD;0xB8;;;;0;0;;;;;;;
0xFD;0xB9;;;;0;0;;;;;;;
0xFD;0xBA;;;;0;0;;;;;;;
0xFD;0xBB;;;;0;0;;;;;;;
0xFD;0xBC;2;0;1;0;;CP IYh;22;1;IYh;;;
0xFD;0xBD;2;0;1;0;;CP IYl;22;1;IYl;;;
0xFD;0xBE;2;1;0;0;;CP (IY+d);24;0;(IY+d);;;
0xFD;0xBF;;;;0;0;;;;;;;
0xFD;0xC0;;;;0;0;;;;;;;
0xFD;0xC1;;;;0;0;;;;;;;
0xFD;0xC2;;;;0;0;;;;;;;
0xFD;0xC3;;;;0;0;;;;;;;
0xFD;0xC4;;;;0;0;;;;;;;
0xFD;0xC5;;;;0;0;;;;;;;
0xFD;0xC6;;;;0;0;;;;;;;
0xFD;0xC7;;;;0;0;;;;;;;
0xFD;0xC8;;;;0;0;;;;;;;
0xFD;0xC9;;;;0;0;;;;;;;
0xFD;0xCA;;;;0;0;;;;;;;
0xFD;0xCB;;;;2;6;;;;;;;
0xFD;0xCC;;;;0;0;;;;;;;
0xFD;0xCD;;;;0;0;;;;;;;
0xFD;0xCE;;;;0;0;;;;;;;
0xFD;0xCF;;;;0;0;;;;;;;
0xFD;0xD0;;;;0;0;;;;;;;
0xFD;0xD1;;;;0;0;;;;;;;
0xFD;0xD2;;;;0;0;;;;;;;
0xFD;0xD3;;;;0;0;;;;;;;
0xFD;0xD4;;;;0;0;;;;;;;
0xFD;0xD5;;;;0;0;;;;;;;
0xFD;0xD6;;;;0;0;;;;;;;
0xFD;0xD7;;;;0;0;;;;;;;
0xFD;0xD8;;;;0;0;;;;;;;
0xFD;0xD9;;;;0;0;;;;;;;
0xFD;0xDA;;;;0;0;;;;;;;
0xFD;0xDB;;;;0;0;;;;;;;
0xFD;0xDC;;;;0;0;;;;;;;
0xFD;0xFD;;;;0;0;;;;;;;
0xFD;0xDE;;;;0;0;;;;;;;
0xFD;0xDF;;;;0;0;;;;;;;
0xFD;0xE0;;;;0;0;;;;;;;
0xFD;0xE1;2;0;0;0;;POP IY;90;1;IY;;;
0xFD;0xE2;;;;0;0;;;;;;;
0xFD;0xE3;2;0;0;0;;EX (SP),IY;39;1;(SP);IY;;
0xFD;0xE4;;;;0;0;;;;;;;
0xFD;0xE5;2;0;0;0;;PUSH IY;91;1;IY;;;
0xFD;0xE6;;;;0;0;;;;;;;
0xFD;0xE7;;;;0;0;;;;;;;
0xFD;0xE8;;;;0;0;;;;;;;
0xFD;0xE9;2;0;0;0;;JP (IY);55;1;(IY);;;
0xFD;0xEA;;;;0;0;;;;;;;
0xFD;0xEB;;;;0;0;;;;;;;
0xFD;0xEC;;;;0;0;;;;;;;
0xFD;0xED;;;;0;0;;;;;;;
0xFD;0xEE;;;;0;0;;;;;;;
0xFD;0xEF;;;;0;0;;;;;;;
0xFD;0xF0;;;;0;0;;;;;;;
0xFD;0xF1;;;;0;0;;;;;;;
0xFD;0xF2;;;;0;0;;;;;;;
0xFD;0xF3;;;;0;0;;;;;;;
0xFD;0xF4;;;;0;0;;;;;;;
0xFD;0xF5;;;;0;0;;;;;;;
0xFD;0xF6;;;;0;0;;;;;;;
0xFD;0xF7;;;;0;0;;;;;;;
0xFD;0xF8;;;;0;0;;;;;;;
0xFD;0xF9;2;0;0;0;;LD SP,IY;65;1;SP;IY;;
0xFD;0xFA;;;;0;0;;;;;;;
0xFD;0xFB;;;;0;0;;;;;;;
0xFD;0xFC;;;;0;0;;;;;;;
0xFD;0xFD;;;;0;0;;;;;;;
0xFD;0xFE;;;;0;0;;;;;;;
0xFD;0xFF;;;;0;0;;;;;;;
